# https://www.thetoptens.com/batman-graphic-novels/,2019 (downloaded)
Ranking,Title
1,Batman: The Killing Joke
2,Batman: The Dark Knight Returns
3,Batman: The Long Halloween
4,Batman: Year One
5,Batman: Hush
6,Batman: Arkham Asylum
7,"Batman: Knightfall, Part One: Broken Bat"
8,Batman: A Death in the Family
9,Batman: Dark Victory
10,Batman: Death of the Family
11,Batman: Heart of Hush
12,Batman Black and White
13,Batman: R.I.P.
14,Batman: Haunted Knight
15,"All Star Batman and Robin, the Boy Wonder"
16,Batman: The Man Who Laughs
17,Batman: Scarecrow Tales
18,Batman Adventures: Mad Love
19,Batman: No Man's Land
20,Batman Volume 1: The Court of Owls
21,Batman: A Lonely Place of Dying
22,Batman and Son
23,"Batman: Knightfall, Part One: Broken Bat"
24,Batman: The Black Mirror
25,Batman: The Dark Knight Strikes Again
26,Batman: Lovers and Madmen
27,Batman: Prey
28,Batman: Strange Apparitions
29,Batman: The Cult
30,Batman: Year 100
31,Gotham by Gaslight
32,Batman and the Monster Men
33,Batman: Knightquest: The Crusade
34,Batman: Earth One Vol. 1
35,Batman: Under the [Red] Hood
36,Batman: Gotham County Line
37,Batman: Snow
38,Batman: Son of the Demon
39,Batman: Absolution
40,Batman & Dracula: Red Rain
41,Batman: Gothic
42,JLA: Tower of Babel
43,Batman: Thrillkiller
44,Batman: Venom
45,Batman: Nine Lives
46,Batman & Dracula: Red Rain
47,Batman and Robin: Batman Reborn
48,The Batman Chronicles Vol. 1
49,The Untold Legend of the Batman
50,"Batman: Knightfall, Part Two: Who Rules The Night"