# https://www.rollingstone.com/movies/movie-lists/the-dark-knight-reads-fifteen-essential-batman-graphic-novels-21918/,2012
Ranking,Title
15,Batman Volume 1: The Court of Owls
14,Batman: Earth One Vol. 1
13,Batman and Robin: Batman Reborn
12,Batman: R.I.P.
11,Batman: Year 100
10,Gotham Central Vol. 2: Jokers and Madmen
9,Batman: The Long Halloween
8,"Batman: Knightfall, Part One: Broken Bat"
7,Batman: A Death in the Family
6,The Untold Legend of the Batman
5,The Batman Chronicles Vol. 1
4,Batman: Arkham Asylum
3,Batman: The Killing Joke
2,Batman: Year One
1,Batman: The Dark Knight Returns